,Mean-x [pix],Mean-y [pix],SD-x [pix],SD-y [pix],r_hat
0,10.183,10.321,0.057,0.053,1.0
1,10.166,10.5,0.068,0.064,1.0
2,9.502,9.592,0.058,0.057,1.0
3,9.928,10.075,0.044,0.041,1.0
4,9.658,10.354,0.045,0.039,1.0
5,9.693,10.155,0.063,0.057,1.0
6,9.851,9.602,0.062,0.059,1.0
7,9.687,9.947,0.042,0.039,1.0
8,9.991,9.611,0.044,0.042,1.0
9,9.837,10.296,0.043,0.039,1.0
10,9.54,9.62,0.048,0.046,1.0
11,10.234,10.053,0.055,0.059,1.0
12,9.77,9.826,0.085,0.08,1.0
13,9.823,9.874,0.045,0.045,1.0
14,10.052,10.495,0.048,0.044,1.0
15,10.368,9.921,0.071,0.065,1.0
16,10.359,9.603,0.077,0.081,1.0
17,9.869,10.428,0.22,0.224,1.0
18,9.6,10.263,0.154,0.154,1.0
19,10.01,9.774,0.055,0.055,1.0
20,10.025,9.711,0.048,0.049,1.0
21,10.165,10.43,0.071,0.064,1.0
22,9.704,10.177,0.122,0.132,1.0
23,10.163,9.782,0.081,0.077,1.0
24,10.399,10.137,0.329,0.304,1.0
25,10.108,10.085,0.068,0.066,1.0
26,9.507,10.075,0.15,0.172,1.0
27,9.909,9.953,0.047,0.047,1.0
28,10.075,9.556,0.071,0.071,1.0
29,10.195,9.767,0.06,0.061,1.0
30,9.803,10.482,0.045,0.041,1.0
31,10.491,9.853,0.053,0.053,1.0
32,10.274,10.036,0.057,0.058,1.0
33,9.57,9.998,0.062,0.06,1.0
34,10.426,9.931,0.073,0.071,1.0
35,10.349,9.992,0.071,0.067,1.0
36,10.368,9.623,0.042,0.043,1.0
37,9.995,9.86,0.32,0.352,1.0
38,9.84,9.954,0.1,0.101,1.0
39,9.62,10.296,0.062,0.056,1.0
40,9.979,10.473,0.121,0.129,1.0
41,10.138,10.19,0.067,0.063,1.0
42,9.599,10.419,0.076,0.072,1.0
43,9.84,10.288,0.339,0.339,1.0
44,10.352,9.807,0.062,0.064,1.0
45,9.646,9.967,0.05,0.049,1.0
46,10.44,10.383,0.07,0.065,1.0
47,10.477,9.498,0.048,0.043,1.0
48,9.851,9.561,0.045,0.043,1.0
49,9.577,10.309,0.1,0.092,1.0
50,10.31,10.334,0.069,0.064,1.0
51,10.096,9.804,0.045,0.042,1.0
52,9.946,10.149,0.25,0.353,1.0
53,10.022,9.652,0.051,0.048,1.0
54,9.533,9.676,0.049,0.047,1.0
55,10.32,9.963,0.066,0.062,1.0
56,10.429,10.145,0.063,0.061,1.0
57,10.184,9.859,0.061,0.053,1.0
58,10.017,10.108,0.085,0.08,1.0
59,9.78,9.53,0.09,0.091,1.0
60,9.943,9.525,0.075,0.066,1.0
61,10.383,9.558,0.044,0.041,1.0
62,9.677,10.037,0.048,0.045,1.0
63,9.575,9.923,0.068,0.071,1.0
64,9.763,10.107,0.072,0.068,1.0
65,9.982,9.754,0.05,0.044,1.0
66,10.415,10.497,0.048,0.045,1.0
67,9.895,10.14,0.056,0.06,1.0
68,9.819,10.037,0.119,0.134,1.0
69,9.784,9.667,0.046,0.041,1.0
70,9.794,10.413,0.099,0.097,1.0
71,9.664,9.511,0.26,0.271,1.0
72,9.708,10.104,0.046,0.045,1.0
73,10.449,9.591,0.045,0.042,1.0
74,10.354,10.196,0.07,0.067,1.0
75,9.889,10.464,0.078,0.073,1.0
76,9.899,10.288,0.038,0.035,1.0
77,9.557,10.164,0.056,0.053,1.0
78,10.027,10.154,0.073,0.068,1.0
79,9.59,10.227,0.08,0.076,1.0
80,9.691,9.79,0.077,0.066,1.0
81,9.796,10.083,0.104,0.101,1.0
82,9.521,9.813,0.043,0.04,1.0
83,10.198,9.584,0.048,0.046,1.0
84,9.983,9.581,0.052,0.051,1.0
85,9.754,10.424,0.047,0.043,1.0
86,10.077,9.711,0.044,0.044,1.0
87,9.516,10.44,0.044,0.042,1.0
88,9.926,9.585,0.174,0.17,1.0
89,9.869,10.186,0.059,0.054,1.0
90,9.743,10.099,0.048,0.046,1.0
91,9.867,10.416,0.09,0.091,1.0
92,10.292,9.746,0.098,0.105,1.0
93,10.32,9.887,0.073,0.072,1.0
94,10.209,10.42,0.043,0.042,1.0
95,9.575,9.673,0.061,0.055,1.0
96,10.099,10.221,0.045,0.041,1.0
97,9.943,9.777,0.045,0.042,1.0
98,9.556,9.607,0.062,0.06,1.0
99,9.923,9.661,0.046,0.044,1.0
100,9.656,9.729,0.047,0.044,1.0
101,10.347,9.994,0.044,0.04,1.0
102,10.137,10.429,0.044,0.042,1.0
103,9.789,9.98,0.065,0.064,1.0
104,10.003,10.276,0.072,0.069,1.0
105,9.615,10.499,0.068,0.063,1.0
106,10.08,9.939,0.049,0.046,1.0
107,9.609,9.814,0.046,0.048,1.0
108,10.17,9.978,0.068,0.065,1.0
109,10.182,9.77,0.226,0.221,1.0
110,9.684,10.075,0.05,0.052,1.0
111,9.931,9.842,0.311,0.453,1.0
112,9.789,9.991,0.065,0.063,1.0
113,10.465,9.6,0.088,0.082,1.0
114,9.629,9.516,0.044,0.04,1.0
115,9.79,10.464,0.047,0.044,1.0
116,9.912,9.76,0.444,0.446,1.0
117,9.728,9.879,0.065,0.061,1.0
118,10.395,10.076,0.063,0.061,1.0
119,9.817,10.17,0.055,0.052,1.0
120,10.0,9.906,0.046,0.042,1.0
121,10.165,9.552,0.055,0.058,1.0
122,10.191,9.512,0.232,0.286,1.0
123,9.525,10.141,0.199,0.248,1.0
124,10.203,9.825,0.232,0.27,1.0
125,9.646,9.982,0.073,0.075,1.0
126,10.168,9.777,0.048,0.047,1.0
127,10.32,10.231,0.043,0.04,1.0
128,10.224,10.475,0.047,0.042,1.0
129,9.738,9.823,0.063,0.064,1.0
130,10.197,9.515,0.093,0.088,1.0
131,10.252,10.35,0.046,0.041,1.0
132,10.154,9.782,0.045,0.041,1.0
133,10.282,10.282,0.141,0.14,1.0
134,9.978,9.821,0.045,0.042,1.0
135,10.018,10.26,0.06,0.057,1.0
136,10.517,9.598,0.063,0.064,1.0
137,10.09,10.303,0.178,0.166,1.0
138,9.982,9.782,0.429,0.328,1.0
139,9.96,9.99,0.046,0.043,1.0
140,9.81,9.771,0.045,0.041,1.0
141,9.591,10.392,0.061,0.058,1.0
142,10.124,10.014,0.062,0.061,1.0
143,10.359,9.688,0.467,0.371,1.0
144,10.268,10.012,0.095,0.093,1.0
145,10.158,9.621,0.066,0.065,1.0
146,10.142,9.669,0.075,0.066,1.0
147,9.727,9.993,0.076,0.071,1.0
148,9.521,10.273,0.042,0.04,1.0
149,9.872,9.577,0.077,0.072,1.0
150,9.627,9.963,0.047,0.043,1.0
151,10.133,9.893,0.277,0.273,1.0
152,10.124,9.993,0.173,0.184,1.0
153,9.815,9.518,0.04,0.039,1.0
154,10.33,9.683,0.043,0.04,1.0
155,10.383,9.507,0.043,0.039,1.0
156,9.95,9.781,0.062,0.063,1.0
157,10.08,9.654,0.064,0.062,1.0
158,10.312,9.901,0.048,0.045,1.0
159,9.708,9.622,0.045,0.041,1.0
160,10.293,10.488,0.048,0.046,1.0
161,10.369,10.04,0.043,0.039,1.0
162,10.074,10.426,0.042,0.037,1.0
163,10.014,10.387,0.064,0.061,1.0
164,10.494,9.625,0.066,0.066,1.0
165,9.64,9.784,0.045,0.045,1.0
166,10.247,10.096,0.039,0.036,1.0
167,10.098,9.956,0.051,0.049,1.0
168,10.216,9.912,0.147,0.154,1.0
169,9.845,9.809,0.123,0.12,1.0
170,10.143,10.371,0.056,0.052,1.0
171,9.677,10.404,0.053,0.051,1.0
172,9.57,10.407,0.06,0.055,1.0
173,9.733,10.148,0.049,0.047,1.0
174,10.115,10.282,0.043,0.04,1.0
175,10.353,9.665,0.045,0.044,1.0
176,10.086,9.666,0.059,0.065,1.0
177,9.911,10.187,0.041,0.039,1.0
178,9.679,9.902,0.047,0.047,1.0
179,10.157,10.279,0.077,0.07,1.0
180,9.96,9.996,0.06,0.058,1.0
181,10.47,10.433,0.044,0.041,1.0
182,10.374,9.998,0.081,0.079,1.0
183,10.388,10.065,0.045,0.045,1.0
184,9.849,10.055,0.068,0.065,1.0
185,10.073,9.783,0.079,0.071,1.0
186,9.508,9.7,0.043,0.04,1.0
187,10.324,9.673,0.045,0.043,1.0
188,9.776,10.288,0.053,0.052,1.0
189,10.093,9.721,0.066,0.06,1.0
190,10.06,10.402,0.204,0.201,1.0
191,10.311,9.69,0.045,0.042,1.0
192,9.569,10.487,0.044,0.041,1.0
193,9.699,9.801,0.047,0.043,1.0
194,10.178,10.221,0.044,0.04,1.0
195,10.28,9.502,0.047,0.046,1.0
196,10.139,10.308,0.044,0.043,1.0
197,10.077,9.826,0.045,0.042,1.0
198,10.013,9.796,0.136,0.147,1.0
199,10.093,10.154,0.047,0.044,1.0
200,10.259,9.548,0.098,0.087,1.0
201,9.601,10.285,0.067,0.07,1.0
